D & B Used Cars|111 Old Benbrook Rd|817-555-5555 
10112|1993|Ford|Explorer|SUV|Red|525123|995.00 
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00 
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
58392|2015|Toyota|Corolla|Sedan|White|88432|8995.00  
62917|2018|Chevrolet|Malibu|Sedan|Black|45987|11995.00  
71234|2010|Nissan|Altima|Sedan|Blue|132456|6495.00  
84521|2020|Kia|Soul|SUV|Green|32411|13995.00  
93218|2013|Hyundai|Elantra|Sedan|Silver|97834|7295.00  
75432|2008|Dodge|Ram 1500|Truck|Red|145892|8995.00  
68103|2019|Subaru|Outback|SUV|Maroon|37890|17495.00  
31984|2016|Mazda|CX-5|SUV|Gray|62144|15995.00  
47290|2014|Jeep|Cherokee|SUV|Black|88455|13495.00  
59023|2011|Ford|Focus|Sedan|Blue|112990|5995.00  
74820|2017|Volkswagen|Jetta|Sedan|White|74321|10995.00  
85321|2012|BMW|328i|Sedan|Silver|101223|9995.00  
61983|2009|Chevrolet|Tahoe|SUV|Gold|168432|8495.00  
43876|2021|Honda|CR-V|SUV|Gray|29111|22995.00  
30219|2015|Toyota|Tacoma|Truck|Black|56321|18995.00  
95763|2010|Ford|Escape|SUV|Tan|123456|6795.00  
